text,label
The service is overpriced and underdelivers badly.,negative
I'm thrilled with how well the package performs.,positive
I'm frustrated because the website keeps failing.,negative
"This phone is a game changer, thank you so much!",positive
The customer support for this delivery was awful.,negative
I'm frustrated because the restaurant keeps failing.,negative
"I'm so disappointed with the laptop, it barely works.",negative
"Absolutely delighted with the book, five stars.",positive
Really impressed by the quality of this product.,positive
Such a wonderful experience with this meal.,positive
The presentation was delivered in a plain box.,neutral
"Absolutely awful quality, this subscription fell apart fast.",negative
Everything about this delivery feels premium and well made.,positive
"Best delivery I have ever used, highly recommend it.",positive
This vacation exceeded all my expectations.,positive
I have not decided yet whether I like the phone.,neutral
The store has the restaurant in stock again.,neutral
"Best website I have ever used, highly recommend it.",positive
I can't believe how poorly the device performs.,negative
"Best car I have ever used, highly recommend it.",positive
The game made my day so much better.,positive
This is the best camera on the market right now.,positive
The experience is overpriced and underdelivers badly.,negative
"This software is a game changer, thank you so much!",positive
Really impressed by the quality of this headphones.,positive
I'm annoyed that the software stopped working so quickly.,negative
The report on the flight will be released tomorrow.,neutral
I had a great time using this phone today.,positive
"This hotel is a game changer, thank you so much!",positive
I had a great time using this watch today.,positive
"Absolutely delighted with the package, five stars.",positive
"Such a bad experience, the camera is unreliable.",negative
The car left me feeling angry and cheated.,negative
The course arrived on Tuesday as scheduled.,neutral
"Best camera I have ever used, highly recommend it.",positive
This app arrived damaged and unusable.,negative
I really hate how this phone turned out.,negative
The package is overpriced and underdelivers badly.,negative
Everything about this experience feels premium and well made.,positive
I can't believe how poorly the watch performs.,negative
"This product is exactly what I needed, perfect!",positive
The movie weighs approximately two kilograms.,neutral
The meeting about the laptop is at 3 PM.,neutral
The product is priced at fifty dollars.,neutral
The watch is compatible with most devices.,neutral
This course is similar to the previous version.,neutral
The store has the camera in stock again.,neutral
This phone exceeded all my expectations.,positive
"I regret buying this flight, total disappointment.",negative
Nothing about this presentation works the way it should.,negative
"Such a bad experience, the package is unreliable.",negative
I can't believe how poorly the headphones performs.,negative
I really hate how this subscription turned out.,negative
The report on the hotel will be released tomorrow.,neutral
"The course was a huge letdown, poor quality overall.",negative
This hotel arrived damaged and unusable.,negative
"I'm so happy with this car, it works perfectly.",positive
I'm thrilled with how well the phone performs.,positive
The gadget weighs approximately two kilograms.,neutral
This is the best subscription on the market right now.,positive
"Great job on the device, everything works flawlessly.",positive
The presentation is currently being reviewed by the team.,neutral
The gadget is priced at fifty dollars.,neutral
The delivery made my day so much better.,positive
They discussed the flight during the conference call.,neutral
I read the instructions for the car yesterday.,neutral
"Absolutely awful quality, this software update fell apart fast.",negative
I really hate how this restaurant turned out.,negative
The watch left me feeling angry and cheated.,negative
She did a fantastic job presenting the project.,positive
"I regret buying this phone, total disappointment.",negative
"Such a bad experience, the course is unreliable.",negative
It took some time to set up the software.,neutral
I am still testing out the phone this week.,neutral
This app exceeded all my expectations.,positive
The customer support for this restaurant was awful.,negative
The hotel is compatible with most devices.,neutral
"Avoid this app, it constantly malfunctions.",negative
"I'm so disappointed with the device, it barely works.",negative
This headphones is a complete waste of money.,negative
The package broke after just one day of use.,negative
The presentation broke after just one day of use.,negative
I read the instructions for the hotel yesterday.,neutral
I can't stop smiling because of this movie.,positive
The team is overpriced and underdelivers badly.,negative
It took some time to set up the flight.,neutral
The package weighs about three pounds.,neutral
The report on the experience will be released tomorrow.,neutral
This device exceeded all my expectations.,positive
This headphones is similar to the previous version.,neutral
The app arrived on Tuesday as scheduled.,neutral
"This experience is exactly what I needed, perfect!",positive
I have not decided yet whether I like the book.,neutral
The course broke after just one day of use.,negative
The report on the software update will be released tomorrow.,neutral
The hotel has a standard one year warranty.,neutral
The watch broke after just one day of use.,negative
The device left me feeling angry and cheated.,negative
"What a fantastic service, truly impressive quality.",positive
Such a wonderful experience with this game.,positive
The vacation was delivered in a plain box.,neutral
"This meal is exactly what I needed, perfect!",positive
There is a new update available for the software update.,neutral
There is a new update available for the watch.,neutral
This is the best gadget on the market right now.,positive
The customer service for this movie was outstanding.,positive
"Terrible experience with this team, would not recommend.",negative
There is a new update available for the service.,neutral
Nothing about this game works the way it should.,negative
I'm annoyed that the headphones stopped working so quickly.,negative
"Terrible experience with this car, would not recommend.",negative
"The subscription was a huge letdown, poor quality overall.",negative
I appreciate how easy the device is to use.,positive
"Best book I have ever used, highly recommend it.",positive
The car requires two batteries to operate.,neutral
I'm frustrated because the book keeps failing.,negative
Such a wonderful experience with this gadget.,positive
Such a wonderful experience with this flight.,positive
"I'm so disappointed with the vacation, it barely works.",negative
"Absolutely awful quality, this course fell apart fast.",negative
"Absolutely delighted with the phone, five stars.",positive
The restaurant weighs approximately two kilograms.,neutral
"Absolutely awful quality, this app fell apart fast.",negative
This meal made everything so much more difficult.,negative
The headphones is overpriced and underdelivers badly.,negative
The customer service for this service was outstanding.,positive
I'm frustrated because the tool keeps failing.,negative
Nothing about this hotel works the way it should.,negative
The customer support for this gadget was awful.,negative
The phone left me feeling angry and cheated.,negative
I really hate how this watch turned out.,negative
It took some time to set up the package.,neutral
Everything about this headphones feels premium and well made.,positive
Really impressed by the quality of this course.,positive
There is a new update available for the team.,neutral
"Great job on the meal, everything works flawlessly.",positive
The car was delivered in a plain box.,neutral
"Great job on the phone, everything works flawlessly.",positive
This service is similar to the previous version.,neutral
The customer service for this camera was outstanding.,positive
The website is priced at fifty dollars.,neutral
There is a new update available for the gadget.,neutral
This watch is similar to the previous version.,neutral
The game works great and looks even better.,positive
"Best course I have ever used, highly recommend it.",positive
"The car was a huge letdown, poor quality overall.",negative
"Great job on the package, everything works flawlessly.",positive
This meal exceeded all my expectations.,positive
"I'm so disappointed with the website, it barely works.",negative
The bus route changes starting next month.,neutral
This hotel is similar to the previous version.,neutral
I can't believe how poorly the meal performs.,negative
I had a great time using this app today.,positive
I appreciate how easy the movie is to use.,positive
I have not decided yet whether I like the team.,neutral
The presentation works great and looks even better.,positive
"This tool is exactly what I needed, perfect!",positive
The meeting about the gadget is at 3 PM.,neutral
Such a wonderful experience with this laptop.,positive
The vacation works great and looks even better.,positive
This device arrived damaged and unusable.,negative
"Absolutely delighted with the car, five stars.",positive
The service works great and looks even better.,positive
"Avoid this product, it constantly malfunctions.",negative
The tool requires two batteries to operate.,neutral
The presentation has a standard one year warranty.,neutral
I read the instructions for the headphones yesterday.,neutral
This meal is similar to the previous version.,neutral
Really impressed by the quality of this service.,positive
"What a fantastic meal, truly impressive quality.",positive
The store has the game in stock again.,neutral
I used the book for about an hour today.,neutral
"Avoid this phone, it constantly malfunctions.",negative
It took some time to set up the device.,neutral
This vacation arrived damaged and unusable.,negative
Such a wonderful experience with this device.,positive
I'm thrilled with how well the laptop performs.,positive
I can't stop smiling because of this product.,positive
"Terrible experience with this camera, would not recommend.",negative
"Great job on the product, everything works flawlessly.",positive
"Absolutely delighted with the app, five stars.",positive
I had a great time using this restaurant today.,positive
"Terrible experience with this movie, would not recommend.",negative
This website made everything so much more difficult.,negative
"The headphones was a huge letdown, poor quality overall.",negative
Everything about this game feels premium and well made.,positive
This course is the worst I have ever purchased.,negative
The book was delivered in a plain box.,neutral
This car is the worst I have ever purchased.,negative
"Terrible experience with this hotel, would not recommend.",negative
"Great job on the hotel, everything works flawlessly.",positive
This vacation is a complete waste of money.,negative
Nothing about this watch works the way it should.,negative
The report on the presentation will be released tomorrow.,neutral
"Absolutely delighted with the movie, five stars.",positive
"I'm so disappointed with the subscription, it barely works.",negative
The software broke after just one day of use.,negative
"The book was a huge letdown, poor quality overall.",negative
The customer support for this package was awful.,negative
Everything about this flight feels premium and well made.,positive
This is the best package on the market right now.,positive
I can't believe how poorly the experience performs.,negative
"Avoid this flight, it constantly malfunctions.",negative
The presentation is priced at fifty dollars.,neutral
I can't stop smiling because of this app.,positive
The flight made my day so much better.,positive
I'm thrilled with how well the software update performs.,positive
The meeting about the website is at 3 PM.,neutral
"Such a bad experience, the tool is unreliable.",negative
The customer service for this phone was outstanding.,positive
"Avoid this restaurant, it constantly malfunctions.",negative
"Absolutely delighted with the delivery, five stars.",positive
The meal works great and looks even better.,positive
The meeting about the app is at 3 PM.,neutral
The gadget left me feeling angry and cheated.,negative
I read the instructions for the tool yesterday.,neutral
"I regret buying this camera, total disappointment.",negative
I appreciate how easy the course is to use.,positive
There is a new update available for the package.,neutral
"Terrible experience with this flight, would not recommend.",negative
"This subscription is exactly what I needed, perfect!",positive
The watch requires two batteries to operate.,neutral
This headphones made everything so much more difficult.,negative
The subscription made my day so much better.,positive
This delivery arrived damaged and unusable.,negative
The meal has a standard one year warranty.,neutral
Really impressed by the quality of this team.,positive
This movie is the worst I have ever purchased.,negative
Such a wonderful experience with this product.,positive
I have not decided yet whether I like the app.,neutral
Everything about this meal feels premium and well made.,positive
It took some time to set up the course.,neutral
I read the instructions for the meal yesterday.,neutral
I am still testing out the presentation this week.,neutral
I can't stop smiling because of this delivery.,positive
"I absolutely love this headphones, it's amazing!",positive
"Great job on the subscription, everything works flawlessly.",positive
Everything about this movie feels premium and well made.,positive
I read the instructions for the subscription yesterday.,neutral
The service requires two batteries to operate.,neutral
Everything about this presentation feels premium and well made.,positive
It took some time to set up the tool.,neutral
There is a new update available for the subscription.,neutral
The hotel was delivered in a plain box.,neutral
The concert last night was absolutely unforgettable.,positive
I'm frustrated because the device keeps failing.,negative
I can't stop smiling because of this package.,positive
The store has the book in stock again.,neutral
The app is compatible with most devices.,neutral
The car comes in three different colors.,neutral
The meal is compatible with most devices.,neutral
I had a great time using this movie today.,positive
I have not decided yet whether I like the delivery.,neutral
The package is currently being reviewed by the team.,neutral
The meeting about the phone is at 3 PM.,neutral
"Absolutely awful quality, this meal fell apart fast.",negative
The package arrived on Tuesday as scheduled.,neutral
"Absolutely delighted with the website, five stars.",positive
Nothing about this experience works the way it should.,negative
The customer service for this hotel was outstanding.,positive
This experience exceeded all my expectations.,positive
The store has the delivery in stock again.,neutral
The phone works great and looks even better.,positive
"I'm so disappointed with the movie, it barely works.",negative
This website exceeded all my expectations.,positive
"I'm so happy with this hotel, it works perfectly.",positive
I'm thrilled with how well the product performs.,positive
"The tool was a huge letdown, poor quality overall.",negative
Such a wonderful experience with this tool.,positive
"I'm so happy with this course, it works perfectly.",positive
The flight arrived on Tuesday as scheduled.,neutral
The service was delivered in a plain box.,neutral
"I'm so happy with this watch, it works perfectly.",positive
Everything about this website feels premium and well made.,positive
The train departs from platform four at noon.,neutral
I have not decided yet whether I like the laptop.,neutral
The device broke after just one day of use.,negative
The phone was delivered in a plain box.,neutral
Really impressed by the quality of this watch.,positive
The app weighs approximately two kilograms.,neutral
"Absolutely delighted with the restaurant, five stars.",positive
It took some time to set up the watch.,neutral
I'm annoyed that the camera stopped working so quickly.,negative
"What a fantastic software, truly impressive quality.",positive
This is the best software on the market right now.,positive
I had a great time using this service today.,positive
The report on the movie will be released tomorrow.,neutral
The software update is priced at fifty dollars.,neutral
The restaurant has a standard one year warranty.,neutral
I am still testing out the subscription this week.,neutral
It took some time to set up the book.,neutral
The store has the package in stock again.,neutral
This game is a complete waste of money.,negative
"I'm so disappointed with the car, it barely works.",negative
I used the gadget for about an hour today.,neutral
The device arrived on Tuesday as scheduled.,neutral
The vacation arrived on Tuesday as scheduled.,neutral
Everything about this device feels premium and well made.,positive
I'm frustrated because the subscription keeps failing.,negative
I am still testing out the gadget this week.,neutral
The meeting about the hotel is at 3 PM.,neutral
"Absolutely awful quality, this service fell apart fast.",negative
This device is similar to the previous version.,neutral
"This headphones is exactly what I needed, perfect!",positive
"I regret buying this meal, total disappointment.",negative
The customer support for this watch was awful.,negative
I read the instructions for the product yesterday.,neutral
The package left me feeling angry and cheated.,negative
I'm frustrated because the meal keeps failing.,negative
I had a great time using this device today.,positive
"This camera is a game changer, thank you so much!",positive
"This meal is a game changer, thank you so much!",positive
Nothing about this flight works the way it should.,negative
I'm annoyed that the laptop stopped working so quickly.,negative
The flight comes in three different colors.,neutral
The website made my day so much better.,positive
"Avoid this vacation, it constantly malfunctions.",negative
"Such a bad experience, the restaurant is unreliable.",negative
"Great job on the experience, everything works flawlessly.",positive
"What a fantastic presentation, truly impressive quality.",positive
This is the best watch on the market right now.,positive
I can't believe how poorly the course performs.,negative
The book arrived on Tuesday as scheduled.,neutral
This camera is similar to the previous version.,neutral
Nothing about this product works the way it should.,negative
The customer service for this restaurant was outstanding.,positive
I can't stop smiling because of this game.,positive
"Avoid this website, it constantly malfunctions.",negative
The customer service for this car was outstanding.,positive
This flight is similar to the previous version.,neutral
"Best service I have ever used, highly recommend it.",positive
"Such a bad experience, the presentation is unreliable.",negative
I am furious about how this situation was handled.,negative
They discussed the subscription during the conference call.,neutral
Everything about this tool feels premium and well made.,positive
I really hate how this camera turned out.,negative
I read the instructions for the phone yesterday.,neutral
"Avoid this service, it constantly malfunctions.",negative
"Absolutely awful quality, this phone fell apart fast.",negative
"I'm so disappointed with the software, it barely works.",negative
This phone is a complete waste of money.,negative
The course requires two batteries to operate.,neutral
They discussed the gadget during the conference call.,neutral
"I'm so disappointed with the service, it barely works.",negative
Nothing about this website works the way it should.,negative
I am still testing out the app this week.,neutral
The store has the hotel in stock again.,neutral
I'm thrilled with how well the camera performs.,positive
"I regret buying this app, total disappointment.",negative
The presentation arrived on Tuesday as scheduled.,neutral
The package comes in three different colors.,neutral
The customer support for this service was awful.,negative
Nothing about this delivery works the way it should.,negative
I'm frustrated because the experience keeps failing.,negative
This decision makes me really upset and disappointed.,negative
The book left me feeling angry and cheated.,negative
This car arrived damaged and unusable.,negative
The tool is compatible with most devices.,neutral
I read the instructions for the book yesterday.,neutral
I used the meal for about an hour today.,neutral
The course has a standard one year warranty.,neutral
The watch comes in three different colors.,neutral
The car broke after just one day of use.,negative
I'm frustrated because the course keeps failing.,negative
I had a great time using this website today.,positive
I really hate how this movie turned out.,negative
I'm thrilled with how well the book performs.,positive
This car made everything so much more difficult.,negative
Such a wonderful experience with this presentation.,positive
The phone has a standard one year warranty.,neutral
"This experience is a game changer, thank you so much!",positive
This vacation made everything so much more difficult.,negative
The device weighs approximately two kilograms.,neutral
I can't stop smiling because of this presentation.,positive
The tool is overpriced and underdelivers badly.,negative
"The meal was a huge letdown, poor quality overall.",negative
This presentation exceeded all my expectations.,positive
Nothing about this headphones works the way it should.,negative
Nothing about this software works the way it should.,negative
I appreciate how easy the service is to use.,positive
I really hate how this course turned out.,negative
The gadget was delivered in a plain box.,neutral
The team has a standard one year warranty.,neutral
"I regret buying this laptop, total disappointment.",negative
The software has a standard one year warranty.,neutral
This subscription is similar to the previous version.,neutral
"Absolutely awful quality, this restaurant fell apart fast.",negative
This product is similar to the previous version.,neutral
"I'm so happy with this presentation, it works perfectly.",positive
I'm annoyed that the app stopped working so quickly.,negative
I used the flight for about an hour today.,neutral
This is the best game on the market right now.,positive
This is the best service on the market right now.,positive
"Best meal I have ever used, highly recommend it.",positive
The watch arrived on Tuesday as scheduled.,neutral
"Terrible experience with this course, would not recommend.",negative
I appreciate how easy the flight is to use.,positive
This meal arrived damaged and unusable.,negative
"Best gadget I have ever used, highly recommend it.",positive
This course arrived damaged and unusable.,negative
The customer service for this vacation was outstanding.,positive
The store has the website in stock again.,neutral
It took some time to set up the camera.,neutral
I can't believe how poorly the tool performs.,negative
This software made everything so much more difficult.,negative
The meeting about the tool is at 3 PM.,neutral
The laptop works great and looks even better.,positive
I had a great time using this hotel today.,positive
The course is overpriced and underdelivers badly.,negative
I'm thrilled with how well the watch performs.,positive
They discussed the app during the conference call.,neutral
She is currently reading a book about history.,neutral
This package is a complete waste of money.,negative
The service is currently being reviewed by the team.,neutral
The software update weighs approximately two kilograms.,neutral
The delivery comes in three different colors.,neutral
The meal weighs approximately two kilograms.,neutral
"Our team won the championship, what an incredible moment!",positive
The camera is priced at fifty dollars.,neutral
The customer support for this camera was awful.,negative
The customer service for this team was outstanding.,positive
The delivery requires two batteries to operate.,neutral
I really hate how this product turned out.,negative
The movie is priced at fifty dollars.,neutral
I have not decided yet whether I like the movie.,neutral
The presentation requires two batteries to operate.,neutral
The team made my day so much better.,positive
The customer support for this device was awful.,negative
Everything about this vacation feels premium and well made.,positive
"Best experience I have ever used, highly recommend it.",positive
"I'm so disappointed with the experience, it barely works.",negative
"Avoid this subscription, it constantly malfunctions.",negative
The book works great and looks even better.,positive
This gadget exceeded all my expectations.,positive
This gadget is the worst I have ever purchased.,negative
"This course is a game changer, thank you so much!",positive
"I'm so happy with this tool, it works perfectly.",positive
"Such a bad experience, the vacation is unreliable.",negative
The delivery has a standard one year warranty.,neutral
There is a new update available for the movie.,neutral
The gadget made my day so much better.,positive
The book weighs approximately two kilograms.,neutral
Everything about this package feels premium and well made.,positive
I can't believe how poorly the laptop performs.,negative
"I absolutely love this delivery, it's amazing!",positive
"Absolutely delighted with the service, five stars.",positive
I really hate how this experience turned out.,negative
I'm thrilled with how well the headphones performs.,positive
Nothing about this device works the way it should.,negative
"Absolutely delighted with the software, five stars.",positive
"Such a bad experience, the team is unreliable.",negative
This watch is a complete waste of money.,negative
This laptop exceeded all my expectations.,positive
The device is overpriced and underdelivers badly.,negative
There is a new update available for the laptop.,neutral
"This product is a game changer, thank you so much!",positive
This app is similar to the previous version.,neutral
The customer service for this experience was outstanding.,positive
Really impressed by the quality of this flight.,positive
It took some time to set up the presentation.,neutral
This book is the worst I have ever purchased.,negative
"Such a bad experience, the gadget is unreliable.",negative
Such a wonderful experience with this course.,positive
"What a fantastic team, truly impressive quality.",positive
I appreciate how easy the phone is to use.,positive
"Best tool I have ever used, highly recommend it.",positive
This delivery exceeded all my expectations.,positive
The delivery works great and looks even better.,positive
The movie made my day so much better.,positive
The report on the tool will be released tomorrow.,neutral
"I'm so disappointed with the meal, it barely works.",negative
The report on the subscription will be released tomorrow.,neutral
The customer support for this movie was awful.,negative
I had a great time using this flight today.,positive
The vacation made my day so much better.,positive
The customer support for this app was awful.,negative
I'm annoyed that the meal stopped working so quickly.,negative
The meeting about the experience is at 3 PM.,neutral
"I regret buying this watch, total disappointment.",negative
This is the best delivery on the market right now.,positive
Such a wonderful experience with this camera.,positive
"Absolutely awful quality, this book fell apart fast.",negative
"Absolutely awful quality, this flight fell apart fast.",negative
I am still testing out the movie this week.,neutral
The store has the flight in stock again.,neutral
I'm annoyed that the presentation stopped working so quickly.,negative
The laptop arrived on Tuesday as scheduled.,neutral
I read the instructions for the watch yesterday.,neutral
"Great job on the service, everything works flawlessly.",positive
The car weighs approximately two kilograms.,neutral
This phone is the worst I have ever purchased.,negative
The customer service for this game was outstanding.,positive
"Absolutely delighted with the headphones, five stars.",positive
"Avoid this gadget, it constantly malfunctions.",negative
I have not decided yet whether I like the game.,neutral
The customer service for this software was outstanding.,positive
"Absolutely delighted with the hotel, five stars.",positive
The phone comes in three different colors.,neutral
I appreciate how easy the hotel is to use.,positive
Really impressed by the quality of this experience.,positive
I'm frustrated because the team keeps failing.,negative
I can't stop smiling because of this laptop.,positive
The meeting about the camera is at 3 PM.,neutral
The meal arrived on Tuesday as scheduled.,neutral
The gadget has a standard one year warranty.,neutral
The report on the car will be released tomorrow.,neutral
I have not decided yet whether I like the experience.,neutral
This service made everything so much more difficult.,negative
I'm thrilled with how well the experience performs.,positive
The watch weighs approximately two kilograms.,neutral
The course works great and looks even better.,positive
The experience is currently being reviewed by the team.,neutral
It took some time to set up the headphones.,neutral
I appreciate how easy the watch is to use.,positive
It took some time to set up the hotel.,neutral
"I'm so happy with this headphones, it works perfectly.",positive
"What a fantastic restaurant, truly impressive quality.",positive
The flight is compatible with most devices.,neutral
This software update is similar to the previous version.,neutral
Such a wonderful experience with this subscription.,positive
I can't believe how poorly the hotel performs.,negative
The software update comes in three different colors.,neutral
The software update requires two batteries to operate.,neutral
The meeting about the meal is at 3 PM.,neutral
I can't stop smiling because of this vacation.,positive
"I regret buying this package, total disappointment.",negative
"What a fantastic flight, truly impressive quality.",positive
The tool broke after just one day of use.,negative
I really hate how this software update turned out.,negative
The store has the software in stock again.,neutral
The customer support for this course was awful.,negative
It took some time to set up the phone.,neutral
The restaurant is compatible with most devices.,neutral
They discussed the package during the conference call.,neutral
I really hate how this presentation turned out.,negative
The subscription is priced at fifty dollars.,neutral
"I absolutely love this hotel, it's amazing!",positive
This team arrived damaged and unusable.,negative
The website is compatible with most devices.,neutral
I'm thrilled with how well the game performs.,positive
I'm thrilled with how well the meal performs.,positive
The experience arrived on Tuesday as scheduled.,neutral
I have not decided yet whether I like the package.,neutral
There is a new update available for the headphones.,neutral
"What a fantastic car, truly impressive quality.",positive
"Absolutely awful quality, this package fell apart fast.",negative
The customer service for this tool was outstanding.,positive
The package is priced at fifty dollars.,neutral
I really hate how this vacation turned out.,negative
Nothing about this tool works the way it should.,negative
This experience made everything so much more difficult.,negative
They discussed the product during the conference call.,neutral
I can't believe how poorly the book performs.,negative
This software update arrived damaged and unusable.,negative
"Such a bad experience, the movie is unreliable.",negative
I read the instructions for the movie yesterday.,neutral
The software made my day so much better.,positive
The website is overpriced and underdelivers badly.,negative
I used the product for about an hour today.,neutral
This is the best restaurant on the market right now.,positive
The headphones broke after just one day of use.,negative
Everything about this team feels premium and well made.,positive
I can't stop smiling because of this headphones.,positive
The customer support for this car was awful.,negative
This restaurant is the worst I have ever purchased.,negative
"This flight is exactly what I needed, perfect!",positive
"I'm so happy with this restaurant, it works perfectly.",positive
Nothing about this car works the way it should.,negative
I have not decided yet whether I like the software update.,neutral
The restaurant made my day so much better.,positive
"This vacation is exactly what I needed, perfect!",positive
